Date_Received,Date_Processed,Time,Site,Block,Seagrass_Trt,Pred_Trt,Label,Voucher?,Back/Side,Notes,AL,A,AC,BV,BN,BS,CH,CR,CLY,CJ,C,CP,D,DV,DL,H,HY,MM,AS,OL,SE,SJ,WS,OS,Total
9/30/19,9/30/19,13:23,PP,1A,IS,C,1-IS-C1,,"SJ, BV",,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49
9/30/19,9/30/19,13:17,PP,1A,IS,C,1-IS-C2,,AC,AC tunics seem to be thicker here than at Sac Landing,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,41,49
9/30/19,9/30/19,13:40,PP,1B,IS,C,1-IS-C3,,,,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,49
9/30/19,9/30/19,15:11,PP,1B,IS,C,1-IS-C4,,"AC, BV, BSc",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49
9/30/19,9/30/19,16:10,PP,1C,IS,C,1-IS-C5,,"BV, CH",,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49
9/30/19,9/30/19,13:33,PP,1C,IS,C,1-IS-C6,,,,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,49
9/30/19,9/30/19,12:33,PP,1A,IS,O,1-IS-O1,,,,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,49
9/30/19,9/30/19,12:44,PP,1A,IS,O,1-IS-O2,,,Algae is Gracillaria,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,37,49
9/30/19,9/30/19,13:09,PP,1B,IS,O,1-IS-O3,,,,0,23,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,49
9/30/19,9/30/19,15:15,PP,1B,IS,O,1-IS-O4,,BV,,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,49
9/30/19,9/30/19,12:20,PP,1C,IS,O,1-IS-O5,,OL,,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,49
9/30/19,9/30/19,15:21,PP,1C,IS,O,1-IS-O6,,OL,,0,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,49
9/30/19,9/30/19,13:00,PP,1A,IS,P,1-IS-P1,,H,,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,42,49
9/30/19,9/30/19,13:45,PP,1A,IS,P,1-IS-P2,Yes (Coryne japonica),SJ,"Check photo, open space count off",0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45,49
9/30/19,9/30/19,16:26,PP,1B,IS,P,1-IS-P3,,"AC, BV",,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,49
9/30/19,9/30/19,13:05,PP,1B,IS,P,1-IS-P4,,AC,,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,49
9/30/19,9/30/19,16:39,PP,1C,IS,P,1-IS-P5,,,,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,34,49
9/30/19,9/30/19,13:36,PP,1C,IS,P,1-IS-P6,,,"Lots of epifauna (shrimp, amphipods, etc.)",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,49
9/30/19,9/30/19,15:31,PP,1D,OS,C,1-OS-C1,,SJ,,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,49
9/30/19,9/30/19,15:52,PP,1D,OS,C,1-OS-C2,,AC,,2,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,49
9/30/19,9/30/19,13:27,PP,1E,OS,C,1-OS-C3,,,,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,49
9/30/19,9/30/19,12:56,PP,1E,OS,C,1-OS-C4,,,Clam in sample (Ruditapes venerupis?),0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,49
9/30/19,9/30/19,16:15,PP,1F,OS,C,1-OS-C5,,,,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,49
9/30/19,9/30/19,16:30,PP,1F,OS,C,1-OS-C6,,,,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,26,49
9/30/19,9/30/19,16:01,PP,1D,OS,O,1-OS-O1,,,,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,49
9/30/19,9/30/19,12:26,PP,1D,OS,O,1-OS-O2,,SJ,Large soft TW on front,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,49
9/30/19,9/30/19,15:34,PP,1E,OS,O,1-OS-O3,,,,0,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,49
