Site,Quadrat,Side,Distance(m),Urosalpinx_number,Acanthinucella_number,Chlorostoma,Limpets,Hemigrapsis_oreonensis,Hemigrapsis_nudus,Porcelain_crab,Hermit_crab,Chiton
W4,1,S,0.65,0,0,0,0,0,0,0,0,0
W4,2,B,2.21,0,0,0,0,0,0,0,0,1
W4,3,S,7.71,0,0,0,0,0,0,0,0,0
W4,4,B,9.88,0,0,0,0,0,0,0,0,0
W4,5,S,13.06,0,0,0,0,0,0,0,0,0
W4,6,B,17.69,0,0,0,0,0,0,0,0,0
W4,7,S,18.04,0,0,0,0,0,0,0,0,0
W4,8,B,21.06,0,0,0,0,0,0,0,0,0
W4,9,S,24.44,0,0,0,0,0,0,0,0,0
W4,10,B,27.61,1,0,0,0,0,0,0,0,0
W3,1,B,0.78,0,0,6,16,4,0,0,0,0
W3,2,S,5.52,0,0,0,22,2,0,0,2,0
W3,3,B,6.13,0,1,1,10,0,0,0,2,0
W3,4,S,8.94,0,1,2,15,7,0,0,0,1
W3,5,B,13.73,0,0,2,27,0,0,0,2,1
W3,6,S,15.71,0,0,2,20,0,0,0,0,1
W3,7,B,20.49,0,0,2,31,3,0,0,0,1
W3,8,S,25.28,1,1,3,32,2,0,0,0,2
W3,9,B,28.37,0,3,2,18,0,0,0,0,3
W3,10,S,29.54,1,0,0,14,3,0,0,0,1
W1,1,S,1.9,0,0,10,3,12,0,0,4,0
W1,2,B,3.76,0,0,29,0,19,0,4,1,0
W1,3,S,4.19,0,2,20,3,22,0,11,0,1
W1,4,B,8.1,0,0,30,1,15,0,0,1,1
W1,5,S,10.77,1,0,22,2,14,0,3,0,1
W1,6,B,14.48,0,1,17,4,9,0,5,0,2
W1,7,S,17.38,0,0,30,0,18,1,14,0,1
W1,8,B,"24,7",0,0,34,2,18,0,0,1,0
W1,9,S,25.84,0,3,16,1,31,1,2,2,0
W1,10,B,28.41,0,2,27,5,23,0,1,1,0
